"account_id","class","follower","nation"
"1470654037","official",1868,"US"
"15754281","official",3760035,"US"
"18218604","official",10488,"US"
"25365536","showbiz",60846678,NA
"395218906","official",2105169,"IT"
"16129920","showbiz",9623145,"US"
"19629651","official",100360,"UK"
"27606837","official",2096,"UK"
"32959253","showbiz",27136339,NA
"10433782","official",235247,"US"
"180463340","showbiz",8702171,NA
"15042770","official",22248,"US"
"8720562","official",1302306,"DE"
"78012548","official",90116,"UK"
"14857525","official",73343,"US"
"19397785","showbiz",42232656,NA
"28639448","official",16251,"US"
"14372486","official",2395191,"US"
"1337785291","sport",12475386,"CH"
"44906914","official",68217,"US"
"420215306","official",3825,"FR"
"89485180","official",17467,"US"
"17769274","official",11575,"US"
"51816066","official",24170,"US"
"4350913827","official",4151,"US"
"35787166","showbiz",20458753,NA
"17038090","official",109137,"UK"
"27260086","showbiz",105691387,NA
"87416722","official",3458309,"UK"
"21447363","showbiz",107463168,NA
"18863815","showbiz",23760481,"US"
"23151437","showbiz",35249471,"US"
"18017198","official",151201,"FR"
"17233335","official",68779,"US"
"61017613","official",25254,"US"
"18159198","official",21136,"UK"
"475834743","official",8327,"UK"
"7113672","official",64721,"US"
"20449296","official",127906,"US"
"18956073","official",150530,"US"
"16409683","showbiz",56356200,"US"
"379408088","showbiz",22059055,NA
"211117755","official",10990,"UK"
"18457416","official",50727,"US"
"58528137","showbiz",8621417,"US"
"22051757","official",30847,"US"
"2890961","official",2883840,"US"
"15135567","official",18651,"US"
"78714922","official",124708,"US"
"16544024","official",68928,"US"
"42562446","sport",13404253,NA
"18023647","official",27958,"US"
"555362545","official",7152,"US"
"15224867","showbiz",9979656,"US"
"100220864","showbiz",42884934,NA
"19923144","sport",27964709,"US"
"27195114","showbiz",38237778,"US"
"14970333","official",3160,"UK"
"16683014","official",370006,"US"
"228448596","official",560,"UK"
"18997592","official",32381,"US"
"472043689","politician",8590,"FR"
"18935802","official",2843766,"IT"
"106738320","official",17385,"US"
"96951800","sport",29763903,"ES"
"224223563","sport",19272838,"ES"
"154280902","showbiz",15175995,NA
"16190898","showbiz",15967042,"US"
"19898168","official",98872,"US"
"3247424584","official",2313,"UK"
"19583545","sport",11805823,"UK"
"268414482","showbiz",42706718,NA
"15452794","official",11969,"US"
"20723642","official",18836,"AE"
"14454247","official",1825169,"DE"
"135421739","sport",29254106,"IN"
"18148907","official",195244,"US"
"40908929","showbiz",12357410,NA
"28706024","showbiz",32033924,"US"
"183622298","official",44954,"DE"
"14861745","politician",70727,"DE"
"17469289","official",1430650,"US"
"53408960","official",7562,"US"
"30973","trademark",11374782,"US"
"17471979","official",22882815,NA
"338084918","showbiz",10901087,NA
"34713362","official",5235696,"US"
"122994639","politician",290499,"UK"
"627673190","sport",23715815,"CH"
"16492455","official",1313,"US"
"3834416134","politician",879,"DE"
"326359913","trademark",13230091,NA
"516405086","politician",699435,"ES"
"18625669","showbiz",12784945,NA
"21397917","official",28366,"DE"
"7517222","showbiz",10513676,"US"
"45709328","showbiz",11085521,NA
"409486555","vip",12648179,"US"
"397938481","official",15411,"UK"
"142204481","sport",8757002,NA
"370695644","official",1498,"CA"
"236699098","showbiz",27344676,NA
"34655603","official",1463217,"UK"
"21312961","official",130756,"US"
"18479513","sport",8335166,NA
"16469679","official",2252,"US"
"380399508","showbiz",11770781,"UK"
"79293791","showbiz",91271456,NA
"47559158","official",19936,"UK"
"17461978","sport",14752284,"US"
"452155423","sport",10342802,"ES"
"172280127","official",25303,"UK"
"80021045","politician",293556,"UK"
"17895820","official",766140,"UK"
"16887175","official",1070651,"UK"
"61781260","politician",746180,"UK"
"17074714","showbiz",9685485,"US"
"89431845","politician",22795,"FR"
"558797310","sport",19386102,"UK"
"90836187","sport",24170873,"ES"
"268439864","showbiz",16973111,NA
"23083404","sport",42775196,NA
"582076945","politician",2807,"ES"
"827601876673785857","official",905,"US"
"39364684","showbiz",11222204,NA
"14684826","official",23307,"UK"
"17314731","official",3281,"US"
"16600393","politician",36105,"DE"
"34355300","official",6291,"US"
"26589987","showbiz",10892923,NA
"14399483","trademark",8442325,NA
"74286565","trademark",8588087,"US"
"580097412","showbiz",12102334,NA
"24318545","official",9662,"US"
"19697415","showbiz",11019366,"US"
"626287930","politician",139639,"DE"
"2883841","official",11614892,"US"
"85603854","showbiz",43616851,"US"
"19248106","showbiz",20875982,NA
"1964571728","sport",9596592,NA
"35094637","showbiz",30028514,"US"
"18228898","showbiz",12737223,NA
"259925559","sport",8560921,NA
"177547780","official",8835132,"AE"
"18839785","politician",47769985,"IN"
"28897926","showbiz",11101169,NA
"36046060","official",12816,"UK"
"2336873018","official",1704,"FR"
"815107976","politician",4351,"DE"
"80820758","politician",2007636,"FR"
"280227352","politician",35037,"ES"
"8886812","official",14192,"US"
"136326597","official",2417,"US"
"1354570123","politician",20803,"UK"
"16303106","showbiz",18487093,NA
"31927467","showbiz",26118366,"US"
"155927976","sport",10490311,NA
"234035533","politician",162890,"FR"
"1059194370","sport",14273425,NA
"48666506","official",1323,"UK"
"23561980","showbiz",11747621,"US"
"386244525","showbiz",8441978,"US"
"264107729","showbiz",12583895,"AU"
"101695592","showbiz",26172666,NA
"14293310","official",16036556,"US"
"23375688","showbiz",57685563,"US"
"14920785","showbiz",20620746,"US"
"533085085","sport",24050221,"UK"
"23600610","official",31776,"US"
"272401679","politician",131700,"FR"
"17508660","politician",408032,"FR"
"24886570","showbiz",14764411,"US"
"280701704","sport",18205196,"DE"
"788524","official",2854899,"UK"
"17675072","politician",696276,"DE"
"21856182","official",4771,"US"
"19335378","politician",274234,"UK"
"15142081","official",9873,"US"
"23339387","politician",62062,"FR"
"2389235778","politician",7208,"FR"
"84238940","official",3713,"US"
"78299218","official",29904,"UK"
"48664313","politician",4465,"FR"
"16522257","official",3114,"US"
"18851248","official",139831,"US"
"16963740","official",1216,"US"
"25533583","official",6198,"US"
"199700276","politician",13669,"FR"
"2875243653","politician",3106,"FR"
"2293287188","politician",4254,"FR"
"404894090","politician",16520,"FR"
"2339095172","politician",2140,"DE"
"1071332641","politician",636467,"IT"
"66691158","politician",17450,"FR"
"900231078","politician",11218,"ES"
"939966774","politician",4356,"ES"
"413839619","politician",198428,"FR"
"89286622","politician",24399,"IT"
"17621447","politician",13503,"DE"
"58025819","official",8828,"ES"
"162055437","politician",7384,"ES"
"322933929","politician",21970,"IT"
"156729839","politician",40376,"IT"
"484982241","politician",282087,"IT"
"14108472","politician",336451,"IT"
"52352494","politician",579936,"IT"
"112413126","politician",9348,"UK"
"532284091","politician",2066,"IT"
"439463212","politician",15905,"FR"
"19504290","politician",3498,"DE"
"578240398","politician",3861,"DE"
"1949513514","politician",3053,"DE"
"35298549","politician",302991,"IT"
"143779403","politician",206757,"UK"
"726372601","politician",30440,"UK"
"920895180","politician",2948,"UK"
"20610385","politician",22409,"DE"
"1063589060","politician",3351,"DE"
"498983436","politician",34585,"FR"
"87306292","politician",14862,"IT"
"16337664","politician",89799,"DE"
"20430345","politician",208094,"IT"
"2419290031","politician",43952,"ES"
"36347303","politician",2737,"DE"
"743724264","politician",1431,"DE"
"18460290","politician",9872,"UK"
"327249605","politician",6889,"FR"
"467581610","politician",8012,"FR"
"2610126043","politician",2225,"FR"
"2476048160","politician",4480,"FR"
"371315536","politician",3457,"IT"
"2320519958","politician",46091,"DE"
"11911322","politician",8724,"FR"
"310221185","politician",13066,"UK"
"3065992036","politician",5770,"FR"
"14569308","politician",41980,"IT"
"9234892","politician",9502,"IT"
"246295381","politician",7004,"DE"
"93709885","politician",6886,"UK"
"2394252247","politician",4243,"FR"
"2607360637","politician",2939,"UK"
"38266652","official",71130,"US"
"296912924","politician",213034,"ES"
"1492759764","politician",7633,"ES"
"491722490","politician",8390,"IT"
"102325185","official",9030,"FR"
"1104698731105054720","politician",0,"UK"
"1510780328","politician",4193,"IT"
"53944421","politician",60139,"IT"
"103152299","politician",20562,"IT"
"25051152","politician",7315,"FR"
"22260144","politician",188480,"DE"
"917844342","politician",1866,"ES"
"42590805","politician",3045,"DE"
"112873259","politician",14064,"IT"
"185976655","politician",19036,"FR"
"2904048473","politician",1207,"DE"
"1347250338","politician",55114,"UK"
"77963355","politician",12354,"FR"
"1371875510","politician",2964,"ES"
"1525524354","politician",9159,"FR"
"2369520374","politician",6284,"FR"
"2447738125","politician",2806,"DE"
"478679663","politician",39516,"UK"
"17576181","politician",5011,"DE"
"48507794","politician",4057,"UK"
"380226093","politician",13046,"UK"
"819843415","politician",13243,"UK"
"1336254342","politician",6305,"IT"
"15061445","politician",4004,"ES"
"393327544","politician",3010,"ES"
"2470710932","politician",3310,"ES"
"588975097","politician",214318,"IT"
"1668992125","politician",8622,"UK"
"20463983","politician",158578,"DE"
"121171051","politician",14910,"UK"
"54988878","politician",115992,"IT"
"1374924439","politician",6240,"UK"
"88928275","politician",6516,"UK"
"45360352","politician",43297,"UK"
"1170514248","politician",62407,"ES"
"251290516","politician",60181,"ES"
"245074453","politician",39858,"ES"
"1040088108","politician",5477,"DE"
"16345369","politician",3994,"DE"
"28640933","politician",11152,"UK"
"167328296","politician",8289,"FR"
"454821447","politician",3831,"IT"
"1870872692","politician",4725,"ES"
"17064195","politician",10707,"DE"
"560188351","politician",15758,"DE"
"203027759","politician",5345,"FR"
"82912952","politician",3637,"DE"
"230849793","politician",7892,"FR"
"2461432297","politician",6433,"DE"
"379645871","politician",5108,"IT"
"19108766","politician",133790,"DE"
"429065822","politician",1974,"DE"
"484515352","politician",4954,"IT"
"144483627","politician",12747,"UK"
"601773356","politician",13931,"IT"
"460065842","politician",13082,"ES"
"612717643","politician",1273,"DE"
"211175054","politician",7122,"UK"
"631767111","politician",50148,"IT"
"2606242467","politician",1598,"DE"
"552711664","politician",1855,"IT"
"24899436","politician",6145,"FR"
"16905927","politician",4754,"IT"
"2397043430","politician",33174,"ES"
"16596200","politician",155395,"UK"
"37631819","politician",526617,"IT"
"31099936","politician",4263,"DE"
"467604110","politician",6011,"IT"
"22651555","politician",8369,"IT"
"787615073061728257","politician",3153,"ES"
"952267464","politician",8423,"UK"
"3292756634","politician",1011,"DE"
"1294551798","politician",1315,"DE"
"20237435","politician",10328,"UK"
"52009223","politician",5639,"ES"
"110191018","politician",23169,"FR"
"252491320","politician",10560,"UK"
"592616570","politician",12289,"FR"
"21707498","politician",6108,"UK"
"119434647","politician",9200,"ES"
"21868093","politician",6350,"UK"
"391945446","politician",42274,"IT"
"116407356","politician",12449,"FR"
"1180379185","politician",2509570,"US"
"922398725183623168","politician",484,"DE"
"2376830766","politician",3051,"ES"
"293066780","politician",128744,"DE"
"2979616235","politician",896,"DE"
"105116603","politician",333373,"FR"
"826743260","politician",7609,"UK"
"378480926","politician",12830,"FR"
"339672122","politician",40055,"IT"
"308677137","politician",5119,"UK"
"166509226","politician",11384,"UK"
"886420428","politician",4050,"DE"
"102458467","politician",7229,"FR"
"143536359","politician",6836,"IT"
"441101681","politician",5143,"FR"
"1225229076","politician",2112,"DE"
"2424047370","politician",7383,"IT"
"813738259","politician",4281,"IT"
"3072156455","politician",537,"DE"
"15846407","showbiz",77789452,"US"
"83041759","politician",3248,"IT"
"1380410526","politician",2380,"DE"
"2262477443","politician",2231,"IT"
"2893511188","showbiz",13864601,NA
"461219174","politician",8178,"IT"
"2673995912","politician",17423,"UK"
"22982441","politician",3664,"DE"
"86719842","politician",6470,"IT"
"829032654","politician",4987,"IT"
"17220934","politician",3090849,"US"
"23740839","politician",2585,"IT"
"17780822","politician",5189,"DE"
"1580316804","politician",3779,"DE"
"38021678","politician",655241,"FR"
"151123001","sport",16127980,"ES"
"626653053","politician",3021,"ES"
"2801885037","politician",2699,"DE"
"79145543","politician",975796,"FR"
"94363834","politician",51564,"DE"
"2373681362","politician",1993,"DE"
"33884545","official",17260949,NA
"2559483123","politician",2956,"UK"
"2370772835","politician",2926,"IT"
"28332028","politician",307455,"FR"
"2195622679","politician",9605,"IT"
"1137018775","politician",8936,"FR"
